name	style
guinness draught	dry stout
rochefort trappistes 10	abtquadrupel
chimay bleue &blue&  grande reserve	belgian strong ale
sierra nevada pale ale &bottle can&	american pale ale
dogfish head 90 minute imperial ipa	imperial ipa
orval	belgian ale
samuel adams boston lager	amber lagervienna
duvel	belgian strong ale
st bernardus abt 12	abtquadrupel
north coast old rasputin russian imperial stout	imperial stout
arrogant bastard ale	american strong ale 
hoegaarden	witbier
budweiser	lager
stone ipa &india pale ale&	india pale ale 40ipa41
rogue dead guy ale	heller bock
pilsner urquell	czech pilsner sv283tl
heineken	lager
newcastle brown ale	brown ale
youngs double chocolate stout	stout
anchor steam beer	california common
westvleteren 12 &xii&	abtquadrupel
stone ruination ipa	imperial ipa
bells two hearted ale	india pale ale 40ipa41
chimay &red  rouge  ale  premiere&	abbey dubbel
rochefort trappistes 8	belgian strong ale
ayinger celebrator doppelbock	doppelbock
corona extra	lager
sierra nevada celebration ale	india pale ale 40ipa41
chimay triple  blanche &white&  cinq cents	abbey tripel
sierra nevada torpedo extra ipa	india pale ale 40ipa41
schneider weisse aventinus	weizen bock
dogfish head 60 minute ipa	india pale ale 40ipa41
founders breakfast stout	imperial stout
westmalle tripel	abbey tripel
brooklyn black chocolate stout	imperial stout
sierra nevada bigfoot	barley wine
samuel smiths oatmeal stout	sweet stout
tripel karmeliet	abbey tripel
delirium tremens	belgian strong ale
leffe blonde	belgian ale
stella artois	lager
franziskaner hefe weissbier  weissbier naturtrub	german hefeweizen
blue moon belgian white ale	witbier
victory hopdevil	india pale ale 40ipa41
weihenstephaner hefeweissbier	german hefeweizen
stone imperial russian stout	imperial stout
bells expedition stout	imperial stout
victory storm king imperial stout	imperial stout
anchor porter	porter
unibroue la fin du monde	abbey tripel
new belgium fat tire	amber ale
paulaner hefe weissbier &hefe weizen& &55&	german hefeweizen
anchor liberty ale	american pale ale
westmalle dubbel	abbey dubbel
bud light	lager
coors light	lager
fullers london porter &bottle keg&	porter
alesmith speedway stout	imperial stout
bells hopslam	imperial ipa
verhaeghe duchesse de bourgogne	sour brown
unibroue trois pistoles	abtquadrupel
russian river pliny the elder	imperial ipa
goose island bourbon county stout	imperial stout
left hand milk stout	sweet stout
samuel smiths imperial stout	imperial stout
paulaner salvator	doppelbock
gulden draak	belgian strong ale
founders centennial ipa	india pale ale 40ipa41
oskar blues dales pale ale	american pale ale
samuel adams octoberfest	oktoberfestmrzen
rodenbach grand cru	sour brown
fullers esb &bottle keg&	ESB
great divide yeti imperial stout	imperial stout
samuel adams winter lager	spiceherbvegetable
rogue hazelnut brown nectar	brown ale
lagunitas india pale ale &ipa&	india pale ale 40ipa41
bear republic racer 5 ipa	india pale ale 40ipa41
la trappe quadrupel	abtquadrupel
ommegang three philosophers	abtquadrupel
arrogant double bastard ale	american strong ale 
aecht schlenkerla rauchbier marzen	smoked
ballast point sculpin ipa	india pale ale 40ipa41
flying dog gonzo imperial porter	imperial porter
saison dupont &vieille provision&	saison
victory golden monkey	abbey tripel
dogfish head 120 minute ipa	imperial ipa
great divide hercules double ipa	imperial ipa
rogue chocolate stout	sweet stout
pabst blue ribbon	lager
founders dirty bastard scotch ale	scotch ale
unibroue maudite	belgian strong ale
dogfish head indian brown ale	brown ale
oskar blues ten fidy	imperial stout
goose island goose ipa	india pale ale 40ipa41
schneider aventinus weizen eisbock	eisbock
brooklyn lager	amber lagervienna
stone smoked porter	porter
dogfish head raison d etre	belgian strong ale
chouffe houblon dobbelen ipa tripel	abbey tripel
rogue shakespeare oatmeal stout	stout
founders kbs &kentucky breakfast stout&	imperial stout
bells kalamazoo stout	stout
la chouffe	belgian strong ale
victory prima pils	pilsener
rogue mocha porter	porter
sierra nevada porter	porter
rochefort trappistes 6	belgian strong ale
mikkeller beer geek breakfast	stout
pauwel kwak	belgian strong ale
